condition,hemisphere,statistic,directional_ti_v_per_m
TI_1to1,Left,mean,0.07962171375298492
TI_1to1,Left,median,0.06974617618235185
TI_1to1,Left,p95,0.18298239862945975
TI_1to1,Right,mean,0.051188962030743954
TI_1to1,Right,median,0.04059320243898351
TI_1to1,Right,p95,0.13318311462493787
TI_1to3,Left,mean,0.04242549488166322
TI_1to3,Left,median,0.038256282103751336
TI_1to3,Left,p95,0.09197008297763651
TI_1to3,Right,mean,0.03319586588552092
TI_1to3,Right,median,0.02996960593880836
TI_1to3,Right,p95,0.07020083030046192
